"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7143","Add multiple products and proceed to checkout","firefox","2026-02-04","passed","2026-02-04","Login and product flow","userdetail.spec.js","",""
"","11932","Add multiple products and proceed to checkout","chromium","2026-02-04","passed","2026-02-04","Login and product flow","Checkout.spec.js","",""
"","12027","LOGIN Functionality","chromium","2026-02-04","passed","2026-02-04","","Loginpage.spec.js","",""
"","4086","LOGIN Functionality","webkit","2026-02-04","passed","2026-02-04","","Loginpage.spec.js","",""
"","3707","User should be able to add multiple products into cart and checkout button is Clickable also User should be able to enter details","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","userdetail.spec.js","",""
"","5199","Add multiple products into cart then click on CART button","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","selectproducts.spec.js","",""
"","14267","User should be able to add multiple products into cart","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","selectproducts.spec.js","",""
"","3705","User should be able to add multiple products into cart","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","selectproducts.spec.js","",""
"","4611","Add multiple products and proceed to checkout","webkit","2026-02-04","passed","2026-02-04","Login and product flow","userdetail.spec.js","",""
"","5505","Add multiple products and proceed to checkout","webkit","2026-02-04","passed","2026-02-04","Login and product flow","Checkout.spec.js","",""
"","6172","Add multiple products and proceed to checkout","webkit","2026-02-04","passed","2026-02-04","Login and product flow","FinalCustomerReviewPage.spec.js","",""
"","30485","User should be able to add multiple products into cart and checkout button is Clickable also User should be able to enter details and Finish button is clickable","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","FinalCustomerReviewPage.spec.js","",""
"","12129","User should be able to add multiple products into cart and checkout button is Clickable also User should be able to enter details and Finish button is clickable","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","FinalCustomerReviewPage.spec.js","",""
"","11701","Add multiple products and proceed to checkout","chromium","2026-02-04","passed","2026-02-04","Login and product flow","FinalCustomerReviewPage.spec.js","",""
"","30046","Add multiple products and proceed to checkout","firefox","2026-02-04","passed","2026-02-04","Login and product flow","Checkout.spec.js","",""
"","11320","Add multiple products into cart then click on CART button","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","Checkout.spec.js","",""
"","19837","Add multiple products into cart then click on CART button","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","FinalCustomerReviewPage.spec.js","",""
"","11016","Add multiple products into cart then click on CART button","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","selectproducts.spec.js","",""
"","6842","Add multiple products and proceed to checkout","firefox","2026-02-04","passed","2026-02-04","Login and product flow","FinalCustomerReviewPage.spec.js","",""
"","7741","Add multiple products into cart then click on CART button","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","Checkout.spec.js","",""
"","10832","Add multiple products into cart then click on CART button","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","selectproducts.spec.js","",""
"","7214","Add multiple products into cart then click on CART button","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","userdetail.spec.js","",""
"","5285","Add multiple products and proceed to checkout","chromium","2026-02-04","passed","2026-02-04","Login and product flow","userdetail.spec.js","",""
"","11705","Add multiple products","chromium","2026-02-04","passed","2026-02-04","Login and Add Products Flow","selectproducts.spec.js","",""
"","4805","Add multiple products into cart then click on CART button","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","userdetail.spec.js","",""
"","3652","Add multiple products","webkit","2026-02-04","passed","2026-02-04","Login and Add Products Flow","selectproducts.spec.js","",""
"","5560","User should be able to add multiple products into cart and checkout button is Clickable also User should be able to enter details and Finish button is clickable","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","FinalCustomerReviewPage.spec.js","",""
"","11360","Add multiple products into cart then click on CART button","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","FinalCustomerReviewPage.spec.js","",""
"","13949","LOGIN Functionality","firefox","2026-02-04","passed","2026-02-04","","Loginpage.spec.js","",""
"","14677","Add multiple products","firefox","2026-02-04","passed","2026-02-04","Login and Add Products Flow","selectproducts.spec.js","",""
"","7704","User should be able to add multiple products into cart and checkout button is Clickable","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","Checkout.spec.js","",""
"","3535","Add multiple products into cart then click on CART button","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","Checkout.spec.js","",""
"","3670","User should be able to add multiple products into cart and checkout button is Clickable also User should be able to enter details","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","userdetail.spec.js","",""
"","4974","User should be able to add multiple products into cart and checkout button is Clickable also User should be able to enter details","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","userdetail.spec.js","",""
"","5328","User should be able to add multiple products into cart and checkout button is Clickable","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","Checkout.spec.js","",""
"","3390","Add multiple products into cart then click on CART button","firefox","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","userdetail.spec.js","",""
"","6535","Add multiple products into cart then click on CART button","webkit","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","FinalCustomerReviewPage.spec.js","",""
"","11478","User should be able to add multiple products into cart and checkout button is Clickable","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","Checkout.spec.js","",""
"","12093","User should be able to add multiple products into cart","chromium","2026-02-04","passed","2026-02-04","Login and select the products into cart Flow","selectproducts.spec.js","",""
